model,wanted,prediction,count
object100_pt_mobilenet_v2_01_270,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_270,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_270,ecouteurs,other,0
object100_pt_mobilenet_v2_01_270,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_270,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_270,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_270,keycap-puller,keycap-puller,22
object100_pt_mobilenet_v2_01_270,keycap-puller,other,2
object100_pt_mobilenet_v2_01_270,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_270,keycap-puller,porte-mine,5
object100_pt_mobilenet_v2_01_270,other,ecouteurs,0
object100_pt_mobilenet_v2_01_270,other,keycap-puller,1
object100_pt_mobilenet_v2_01_270,other,other,18
object100_pt_mobilenet_v2_01_270,other,pc-stand,0
object100_pt_mobilenet_v2_01_270,other,porte-mine,0
object100_pt_mobilenet_v2_01_270,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_270,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_270,pc-stand,other,0
object100_pt_mobilenet_v2_01_270,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_270,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_270,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_270,porte-mine,keycap-puller,1
object100_pt_mobilenet_v2_01_270,porte-mine,other,0
object100_pt_mobilenet_v2_01_270,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_270,porte-mine,porte-mine,18
